trial_number,kernel_size,kernel_ratio,n_kernels,accuracy,time,pareto_optimal
0,3,0.12998419933362243,10,0.2,0.09329104423522949,True
1,4,0.6343230704351324,355,0.0,4.930709362030029,False
2,4,0.22404870992378018,125,0.1,1.4460663795471191,False
3,3,0.21344977583423907,17,0.3,0.14185070991516113,True
4,5,0.39612653690866534,911,0.2,4.67801833152771,False
