trial_number,kernel_size,kernel_ratio,n_kernels,accuracy,time,pareto_optimal
0,6,0.13930176363130176,994,0.6,3.4844698905944824,False
1,4,0.9163627500739678,513,0.7,5.762405157089233,False
2,3,0.37199887715044627,31,0.7,0.20283126831054688,True
3,3,0.39066585456422154,32,0.4,0.1972970962524414,True
4,6,0.3702384891097574,2643,0.7,3.486349582672119,False
