trial_number,kernel_size,kernel_ratio,n_kernels,accuracy,time,pareto_optimal
0,6,0.8434193076857455,6022,0.6,11.69468379020691,False
1,4,0.0909555615818593,50,0.5,0.3475532531738281,True
2,6,0.6310262336717134,4505,0.6,3.4921908378601074,False
3,4,0.89501486143321,501,0.6,4.664850473403931,False
4,4,0.3061183916998913,171,0.6,1.526597499847412,True
