Dataset,Config,Accuracy,FeatureTime,TrainTime,PredTime,TotalTime,NumKernels,NumDilations,FeatureDim
MNIST,full,0.935,4.293969392776489,0.04512619972229004,0.000986337661743164,4.3400819301605225,84,15,1260
MNIST,only_iso,0.925,0.40796399116516113,0.010946273803710938,0.00051116943359375,0.4194214344024658,84,5,420
MNIST,only_aniso,0.93,0.9505023956298828,0.026262283325195312,0.0006871223449707031,0.9774518013000488,84,10,840
MNIST,half_kernels,0.935,2.3228867053985596,0.016934633255004883,0.0005900859832763672,2.340411424636841,42,15,630
MNIST,quarter_kernels,0.9183333333333333,0.33674192428588867,0.009078741073608398,0.0006308555603027344,0.3464515209197998,21,15,315
MNIST,zero_bias,0.94,1.3460652828216553,0.05478930473327637,0.0012242794036865234,1.4020788669586182,84,15,1260
MNIST,random_bias,0.915,1.341372013092041,0.059206247329711914,0.0009307861328125,1.4015090465545654,84,15,1260
MNIST,mean_s,0.7466666666666667,1.3424160480499268,0.04933905601501465,0.0013730525970458984,1.3931281566619873,84,15,1260
MNIST,only_few_dilations,0.945,1.4274828433990479,0.047968149185180664,0.0013759136199951172,1.4768269062042236,84,15,1260
Fashion-MNIST,full,0.8233333333333334,1.4262759685516357,0.05581474304199219,0.0009169578552246094,1.4830076694488525,84,15,1260
Fashion-MNIST,only_iso,0.8166666666666667,0.42343688011169434,0.011775016784667969,0.00048065185546875,0.43569254875183105,84,5,420
Fashion-MNIST,only_aniso,0.82,0.9590029716491699,0.02353954315185547,0.0008122920989990234,0.9833548069000244,84,10,840
Fashion-MNIST,half_kernels,0.805,0.6889889240264893,0.025800704956054688,0.0005900859832763672,0.7153797149658203,42,15,630
Fashion-MNIST,quarter_kernels,0.81,0.37452197074890137,0.008656978607177734,0.0005145072937011719,0.3836934566497803,21,15,315
Fashion-MNIST,zero_bias,0.8133333333333334,1.9746642112731934,0.054442644119262695,0.0009558200836181641,2.030062675476074,84,15,1260
Fashion-MNIST,random_bias,0.8133333333333334,2.204958438873291,0.06836223602294922,0.0009510517120361328,2.2742717266082764,84,15,1260
Fashion-MNIST,mean_s,0.765,1.5638141632080078,0.0466303825378418,0.0009140968322753906,1.611358642578125,84,15,1260
