trial_number,kernel_size,kernel_ratio,n_kernels,accuracy,time,pareto_optimal
0,6,0.6500860244486145,4641,0.7,3.233140468597412,True
1,6,0.847975946659164,6054,0.6,3.2768609523773193,False
2,4,0.756019867057157,423,0.7,3.8236422538757324,False
3,4,0.6050907090962866,338,0.6,3.0341382026672363,False
4,3,0.8469356055472155,71,0.6,0.41904520988464355,True
