trial_number,kernel_size,kernel_ratio,n_kernels,accuracy,time,pareto_optimal
0,3,0.3529892449390208,29,0.6,0.838925838470459,True
1,4,0.10673099700908521,59,0.4,3.6027402877807617,False
2,3,0.5733748167336264,48,0.3,1.3993628025054932,False
3,6,0.30278340375803725,2161,0.5,60.96507525444031,False
4,4,0.20780888715992868,116,0.6,8.109839677810669,False
